id,ten,eleven,twelve,thirteen,fourteen
60871215003,41997,48275,50133,45486,50982
60871215004,50375,46630,49191,47958,47923
60871215005,27344,22119,21929,23864,23896
60871216001,53125,70612,44702,42935,43980
60871216002,77000,100481,70972,84231,87054
60871216003,57902,51677,52731,49023,53256
60871216004,87946,97188,92614,92396,92885
60871216005,42328,32250,31295,31442,30440
60871217001,40167,36550,39422,51296,69531
60871217002,68710,61313,58542,57813,60833
60871217003,58968,62220,80714,103971,107417
60871217004,51814,51657,48269,42524,42039
60871217005,54655,56354,56458,123563,58938
60871217006,66591,69837,92188,71920,73636
60871218001,62104,86080,86378,88337,87892
60871218002,51792,50729,54504,53587,51875
60871218003,53281,55196,47017,55833,56974
60871218004,53889,45750,57396,49737,75833
60871220011,64125,68125,67917,82794,87219
60871220012,106875,122500,110417,110179,113194
60871220013,60341,66556,66951,83750,86453
60871220014,64722,38614,38512,37543,34000
60871220015,82426,94083,98750,111389,115433
60871220021,97596,85735,91719,102625,114861
60871220022,107115,105966,94256,93147,93036
60871220031,94038,81672,83692,83690,85329
60871220032,54279,55530,59200,59159,58407
60871220033,78582,76198,73362,93813,79333
60871220034,53173,66146,50833,63295,82618
60871220035,49904,50446,53472,53787,41944
60871221001,70000,71750,63750,77321,81875
60871221002,73988,64531,62500,62008,61920
60871221003,52250,48750,53365,50156,50000
60871222011,100500,125670,128393,123306,190236
60871222012,115481,80667,72375,71833,73409
60871222013,81161,83846,99196,133889,152692
60871222014,108672,103472,114773,40375,40446
60871222015,71250,70536,67625,68314,67554
60871222016,68229,75625,82782,86875,86344
60871222017,51556,60673,53345,53030,66797
60871222021,90329,90769,97431,98375,103167
60871222031,89891,100917,105134,103897,98750
60871222032,78750,98664,100302,101250,95556
60871223001,49500,60179,59583,53214,42000
60871223002,112188,97105,95326,78388,79023
60871223003,73889,71450,96429,87105,112420
60871224001,78926,78039,79598,79293,83358
60871224002,38500,33281,51250,54737,83636
60871224003,77841,76615,69306,80192,74946
60871224004,102353,92198,92117,90539,44630
60871224005,75568,79231,73879,83438,65156
60871224006,80093,74844,75156,52768,45461
60871225001,62917,96583,97639,83922,79583
60871225002,49129,49974,59457,52857,51607
60871225003,70804,71071,75104,75625,82534
60871225004,57348,58047,59120,75833,65313
60871231001,47074,46667,47813,48846,49185
60871231002,63785,57132,66806,59271,57557
60871233001,55625,55450,60179,64375,63869
