id,Total,White,Black,Indian_Alaska,Asian,Hawaiian_Pacific,Some_Other,Two_or_More,Hispanic_Latino
60871205002,125375,119286,,,250001,,222625,,69188
60871205003,81700,81700,,,,,,,44669
60871205004,80648,69091,,,,,,235726,102443
60871205005,86016,88750,,,250001,,,65875,
60871206001,86786,85536,,,,,,,101250
60871206002,70326,70326,,,,,,,123750
60871206003,84375,84375,,,,,,,
60871206004,96382,96842,,,,,,,26700
60871206005,66607,67054,,,,,,,
60871207001,57951,57951,,,,,,,26581
60871207002,74931,81354,,,41750,,,,59545
60871207003,89129,87614,,,250001,,,,89375
60871208001,51207,51078,,,111429,,,19722,111463
60871208002,128807,128409,,,,,133125,,94333
60871208003,116000,116542,,250001,112250,,,,72500
60871209001,96094,91157,,,114740,,,,51654
60871209002,111071,112411,,,,,,,
60871209003,130250,132917,,,250001,,,96071,78889
60871209004,115134,114946,,,116250,,,,59700
60871210001,107785,101576,,,,,,,171328
60871210002,102000,102000,,,,,,,
60871210003,109318,109545,,,123750,,,,163021
60871211001,125875,130000,,64028,,,,,97500
60871211002,66458,65347,,,250001,,,,32639
60871212001,77768,77768,,,,,,,33854
60871212002,165714,173500,,,,,,,
60871212003,98281,80972,,,,,169205,85385,250001
60871212004,85222,86250,,,31492,,,,
60871212005,116346,111477,,250001,147583,,,,101719
60871213001,67222,62386,,,198026,,175446,,79740
60871213002,95764,89028,,,,,,,
60871213003,70205,70448,,,93068,,37333,,65385
60871213004,35710,35710,,,,,75714,,58250
60871214011,50852,50511,,,,,,72941,95833
60871214012,65000,59911,,,127765,,92569,,93611
60871214021,51488,45385,,,168036,,,,46250
60871214022,55986,55465,,,2499,,160769,57955,66250
60871214023,71583,72333,,,116528,,,,76429
60871214031,61087,62875,38241,,79038,,,60982,39444
60871214032,60313,59153,,,,,,,69643
60871214033,53765,53404,,,167500,,,,53790
60871215001,143958,143194,,,250001,,,,
60871215002,57632,58114,,,,,,,44489
60871215003,48275,58100,,,,,,,157938
60871215004,46630,46005,,,,,,,27083
60871215005,22119,21826,,,,,,,
60871216001,70612,71516,,,,,,,46375
60871216002,100481,100481,,,,,,,
60871216003,51677,51487,,,171713,,24132,,46076
60871216004,97188,95938,,,,,,,117721
60871216005,32250,31889,,,,,44208,,43125
60871217001,36550,35057,,,,,50583,82266,36411
60871217002,61313,62188,,,,,,,
60871217003,62220,62478,,,,,,,
60871217004,51657,51395,,,,,,,32500
60871217005,56354,54734,,,75083,,57448,,54548
60871217006,69837,79167,,,,,67868,,67868
60871218001,86080,70083,,,,,,94051,93796
60871218002,50729,61181,,,9189,,,52596,48229
60871218003,55196,54015,,,,,,106944,83510
60871218004,45750,55341,,,,,,39345,
60871220011,68125,66250,,,,,,,
60871220012,122500,109792,,,,,,,163393
60871220013,66556,67361,,,,,28625,,49306
60871220014,38614,30909,,,,,,38882,120365
60871220015,94083,94667,,,,,65375,,103846
60871220021,85735,98194,,,,,,41458,34583
60871220022,105966,107917,250001,,88179,,,,
60871220031,81672,81609,,,,,,,70475
60871220032,55530,53958,,,,,,,96250
60871220033,76198,76693,,,210583,,62857,69750,29615
60871220034,66146,65417,,,,,,,79056
60871220035,50446,26583,,,66989,,,,
60871221001,71750,70625,,,,,,,30560
60871221002,64531,61833,,,,,87813,,29625
60871221003,48750,39550,,,64583,,36000,34444,27955
60871222011,125670,125670,,,,,,,
60871222012,80667,81417,,,,,,,
60871222013,83846,89792,,,,,,,
60871222014,103472,130000,,,,,40714,,40714
60871222015,70536,71464,,,,,,,67147
60871222016,75625,75625,,,,,,,50515
60871222017,60673,60673,,,,,,,85469
60871222021,90769,92500,,,61094,,,,173977
60871222031,100917,100750,,2499,9875,,,,105156
60871222032,98664,98836,,,,,,,126250
60871223001,60179,56750,,,67083,,,,31250
60871223002,97105,102917,,,,,,,
60871223003,71450,70050,,,102059,,,,
60871224001,78039,77173,,,,,69911,,76181
60871224002,33281,40417,,,,,,,
60871224003,76615,80060,,,,,,,50481
60871224004,92198,92198,,,,,,,112847
60871224005,79231,78365,,,,,,,80385
60871224006,74844,75536,,,,,,,73500
60871225001,96583,83125,,,99750,,129643,,98750
60871225002,49974,49271,,,99861,,49618,,48368
60871225003,71071,77679,,,4318,,63155,,76250
60871225004,58047,57031,,,,,32232,95357,57891
60871231001,46667,47813,,,,,,,48125
60871231002,57132,59792,,,26705,,75781,16750,34261
60871233001,55450,61094,,,,,11754,,39167
